,,,,,,,
,date,time_min,tag1,tag2,tag3,tag4,
,2023-11-25,25,Organisation,UCC,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,5,,,,,
,,25,Coding,UCC,R,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,30,Organisation,UCC,,,
,,15,,,,,
,,30,Reading,UCC,,,
,,17,Writing,UCC,Notes,,
,2023-11-26,25,Coding,UCC,R,,
,,60,,,,,
,,15,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,30,Organisation,UCC,,,
,,30,Writing,UCC,Critiques,,
,,35,Organisation,UCC,,,
,,30,Reading,UCC,Review,,
,,25,,,,,
,,29,,,,,
,,18,Organisation,UCC,,,
,2023-11-27,25,Coding,UCC,R,,
,,25,,,,,
,,10,,,,,
,,7,Organisation,UCC,,,
,,25,Reading,UCC,PG7049,,
,,25,,,,,
,,35,,,,,
,,25,,,,,
,,26,,,,,
,,26,,,,,
,,22,Organisation,UCC,,,
,,25,Organisation,UCC,PG6030,,
,,60,Coding,UCC,PG6030,R,
,,36,,,,,
,,12,Organisation,UCC,,,
,,15,Coding,UCC,PG6030,R,
,,25,,,,,
,,12,,,,,
,,2,Organisation,Bee O'clock,,,
,,3,,,,,
,2023-11-28,15,Writing,UCC,Notes,,
,,25,Coding,UCC,R,,
,,25,Coding,UCC,PG6030,,
,,10,,,,,
,,25,,,,,
,,5,Reading,UCC,PG7049,,
,,8,,,,,
,,15,,,,,
,,25,,,,,
,,25,,,,,
,,60,Volunteering,UCC,CRT AI Student's Seminars,,
,,30,Learning,Fun,Japanese,,
,,30,Reading,UCC,PG7049,,
,,25,,,,,
,,19,,,,,
,,25,Writing,UCC,PG7049,,
,,5,,,,,
,,25,Coding,UCC,PG6030,,
,,10,,,,,
,,29,Reading,UCC,Review,,
,,25,,,,,
,,28,,,,,
,,25,,,,,
,,20,Learning,Fun,Japanese,,
,2023-11-29,5,Coding,UCC,R,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,40,,,,,
,,12,Organisation,UCC,Literature,,
,,27,Organisation,UCC,Weekly,Sabin,
,,60,Organisation,UCC,PG7049,,
,,16,,,,,
,,60,Organisation,UCC,Literature,,
,,16,,,,,
,,25,,,,,
,,29,,,,,
,,25,,,,,
,,25,Organisation,UCC,GPU and Quantum Cloud Services,,
,,6,,,,,
,,35,Writing,UCC,PG7049,,
,,39,Reading,ChNU,Volunteering,Research,
,,6,Reading,ChNU,Prepare for teaching,UCC,
,,25,Learning,Fun,Japanese,,
,2023-11-30,21,Reading,ChNU,Volunteering,Research,
,,37,Writing,ChNU,Volunteering,Research,
,,16,Learning,Fun,Japanese,,
,,60,Teaching,ChNU,Quantum Computing,UCC,
,,35,,,,,
,,60,Volunteering,UCC,CRT AI Seminars,Talk with Janet,
,,60,Volunteering,UCC,Survey,Cibyl,
,,30,,,,,
,,8,Volunteering,ChNU,Learning,qskit,
,,10,Writing,ChNU,Reversible Circuits,,
,,25,,,,,
,,25,,,,,
,,25,Reading,ChNU,Reversible Circuits,,
,,25,,,,,
,,12,,,,,
,,60,Consultation,ChNU,Reversible Circuits,,
,,40,,,,,
,,25,Development,ChNU,Reversible Circuits,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,28,,,,,
,2023-12-01,25,Development,ChNU,Reversible Circuits,,
,,30,Learning,Fun,Japanese,,
,,35,,,,,
,,25,Development,ChNU,Reversible Circuits,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,Research,ChNU,Reversible Circuits,,
,,25,,,,,
,,60,,,,,
,,40,Development,ChNU,Reversible Circuits,,
,2023-12-02,35,Learning,Fun,Japanese,,
,,35,,,,,
,,60,Teaching,ChNU,Quantum Computing,UCC,
,,45,,,,,
,,60,Organisation,ChNU,Reversible Circuits,,
,,18,Reading,UCC,Organisation,CREG,
,,25,Organisation,UCC,Research Gate,,
,,5,Coding,C4U,Sitemap,,
,,25,Coding,UCC,PG6030,,
,,25,,,,,
,2023-12-03,60,Learning,Fun,Japanese,,
,,9,,,,,
,,25,Coding,UCC,R,Organisation,
,,25,,,,,
,,14,,,,,
,,25,,,,,
,,33,,,,,
,,25,,,,,
,,49,,,,,
,,25,Reading,UCC,Literature,,
,,25,,,,,
,,27,,,,,
,,23,,,,,
,2023-12-04,30,Learning,Japanese,,,
,,12,,,,,
,,13,Organisation,UCC,,,
,,25,Writing,UCC,PG7049,Vlog,Script
,,15,,,,,
,,25,Reading,UCC,Literature,,
,,25,,,,,
,,25,Writing,UCC,Literature,,
,,25,Writing,UCC,PG7049,Vlog,Presentation
,,38,,,,,
,,47,,,,,
,,25,Reading,UCC,Literature,,
,,25,Reading,UCC,PG7049,,
,,25,,,,,
,,26,,,,,
,,25,,,,,
,,25,,,,,
,,58,Organisation,UCC,,,
,,25,Reading,UCC,PG6030,,
,,25,Coding,UCC,PG6030,,
,,5,,,,,
,,25,Reading,UCC,PG6030,,
,,24,,,,,
,2023-12-05,45,Learning,Fun,Japanese,,
,,50,,,,,
,,4,Organisation,UCC,Emails,,
,,12,Organisation,UCC,CRT AI Seminar,Moderation,Preparation
,,10,,,,,
,,25,Reading,UCC,PG6030,,
,,10,,,,,
,,15,Organisation,UCC,CRT AI Seminar,Moderation,Preparation
,,60,Volunteering,UCC,CRT AI Seminar,Moderation,
,,14,,,,,
,,25,Organisation,UCC,Emails,Mark,
,,2,,,,,
,,25,Reading,UCC,Literature,,
,,25,Writing,UCC,PG7049,Vlog,Presentation
,,25,,,,,
,,25,,,,,
,,5,,,,,
,,10,Organisation,UCC,,,
,,8,Writing,UCC,PG7049,Vlog,Presentation
,,37,Organisation,UCC,Google Scholar Alerts,,
,,37,Reading,UCC,DeepAI,Live Stream,
,,25,Writing,UCC,PG7049,Vlog,Presentation
,,25,,,,,
,,25,,,,,
,,15,,,,,
,,25,,,,,
,,10,,,,,
,2023-12-06,45,Organisation,Fun,Japanese,,
,,37,Learning,Fun,Japanese,,
,,20,,,,,
,,36,Organisation,UCC,Emails,,
,,30,Organisation,UCC,Weekly,Sabin,
,,13,Organisation,UCC,PG7049,,
,,43,,,,,
,,43,Organisation,UCC,Google Scholar Alert,,
,,4,Organisation,UCC,PG7049,,
,,25,Writing,UCC,PG7049,Vlog,Presentation
,,25,,,,,
,,25,,,,,
,,9,Volunteering,UCC,Qualtrics Survey,,
,,33,Reading,UCC,PG7049,,
,,25,,,,,
,,25,Reading,UCC,PG6030,,
,,8,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,5,,,,,
,,10,Reading,UCC,Literature,,
,,5,Organisation,UCC,References,,
,,20,Writing,UCC,Patient flows,,
,,20,,,,,
,,25,,,,,
,,25,,,,,
,,15,,,,,
,2023-12-07,25,Designing,GINGO,Liza,,
,,25,,,,,
,,25,,,,,
,,54,,,,,
,,20,Leaning,Fun,Japanese,,
,,60,Teaching,ChNU,Quantum Computing,UCC,
,,60,,,,,
,,60,,,,,
,,18,Organisation,ChNU,Google Scholar Alert,,
,,25,Reading,UCC,Literature,,
,,10,Organisation,UCC,PG7049,Vlog,Presentation
,,20,Designing,GINGO,Liza,,
,,25,,,,,
,,40,,,,,
,,15,Writing,UCC,PG7049,Vlog,Presentation
,,60,Teaching,ChNU,Quantum Computing,UCC,
,,25,Writing,UCC,Patient flows,,
,,36,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,21,,,,,
,2023-12-08,27,Organisation,UCC,Emails,,
,,5,Learning,Fun,Japanese,,
,,60,,,,,
,,60,,,,,
,,36,,,,,
,,25,Organisation,UCC,PG7049,Vlog,Presentation
,,25,,,,,
,,12,,,,,
,,60,,,,,
,,60,,,,,
,,25,Coding,UCC,PG6030,Portfolio,
,,31,,,,,
,2023-12-09,25,,,,,
,,15,,,,,
,,15,Coding,C4U,Localisation,,
,,25,Coding,UCC,PG6030,Portfolio,
,,26,,,,,
,,25,,,,,
,,29,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,20,,,,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,30,,,,,
,,32,,,,,
,,31,,,,,
7.633333333,2023-12-10,60,,,,,
,,5,,,,,
,,25,Learning,Fun,Japanese,,
,,25,,,,,
,,25,,,,,
,,22,,,,,
,,25,Coding,UCC,PG6030,,
,,25,,,,,
,,25,,,,,
,,25,,,,,
,,10,Organisation,UCC,Weekly report,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2.916666667,,,,,,,
